,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 3,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
djd31335,desiree.delgado@univ.edu,2,Desiree,Delgado,69.0,80,74,80,74,80,64,100,60,70,55,90,31,50,55,70,55,60,51,60,88,100,69,100,78,100,9,0.88,0.69,0.78,0.7945945945945946,0.7993134920634921,0.7993134920634921,0.13043478260869565,0.5294117647058824,0.5294117647058824,0.7085489262371616,71.0,C
rxd29805,robert.douglas@univ.edu,2,Robert,Douglas,57.0,80,53,80,73,80,78,100,42,70,83,90,41,50,69,70,44,60,39,60,86,100,67,100,87,100,13,0.86,0.67,0.87,0.7824324324324324,0.7778769841269841,0.7824324324324324,0.18840579710144928,0.7647058823529411,0.7647058823529411,0.7828847376788554,79.0,C
axd31221,angela.dunlap@univ.edu,2,Angela,Dunlap,49.0,80,73,80,71,80,75,100,62,70,64,90,41,50,66,70,42,60,56,60,82,100,64,100,92,100,11,0.82,0.64,0.92,0.8094594594594594,0.8155515873015874,0.8155515873015874,0.15942028985507245,0.6470588235294118,0.6470588235294118,0.7633382819794585,77.0,C
tce09928,timothy.edwards@univ.edu,2,Timothy,Edwards,49.0,80,72,80,60,80,87,100,49,70,84,90,30,50,49,70,39,60,60,60,68,100,73,100,71,100,6,0.68,0.73,0.71,0.7824324324324324,0.7715833333333334,0.7824324324324324,0.08695652173913043,0.35294117647058826,0.35294117647058826,0.6323553259141494,64.0,D
bcf26283,brandon.flores@univ.edu,2,Brandon,Flores,62.0,80,52,80,77,80,87,100,45,70,71,90,40,50,45,70,45,60,54,60,96,100,93,100,65,100,11,0.96,0.93,0.65,0.7810810810810811,0.7782103174603175,0.7810810810810811,0.15942028985507245,0.6470588235294118,0.6470588235294118,0.745050079491256,75.0,C
rcf61653,russell.flores@univ.edu,2,Russell,Flores,48.0,80,68,80,71,80,77,100,68,70,90,90,30,50,64,70,47,60,56,60,64,100,78,100,98,100,13,0.64,0.78,0.98,0.8364864864864865,0.8309880952380952,0.8364864864864865,0.18840579710144928,0.7647058823529411,0.7647058823529411,0.8210063593004769,83.0,B
dsg54218,desiree.garcia@univ.edu,2,Desiree,Garcia,68.0,80,78,80,77,80,95,100,60,70,73,90,35,50,47,70,45,60,55,60,81,100,99,100,70,100,6,0.81,0.99,0.7,0.8554054054054054,0.8443849206349207,0.8554054054054054,0.08695652173913043,0.35294117647058826,0.35294117647058826,0.6925445151033387,70.0,C
hxg56446,heidi.glover@univ.edu,2,Heidi,Glover,65.0,80,52,80,60,80,65,100,45,70,81,90,47,50,43,70,51,60,48,60,60,100,83,100,83,100,10,0.6,0.83,0.83,0.7527027027027027,0.7609642857142856,0.7609642857142856,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.7183563025210083,72.0,C
smg03171,sherry.good@univ.edu,2,Sherry,Good,50.0,80,48,80,77,80,94,100,54,70,77,90,44,50,62,70,48,60,47,60,89,100,88,100,64,100,7,0.89,0.88,0.64,0.8121621621621622,0.8103531746031747,0.8121621621621622,0.10144927536231885,0.4117647058823529,0.4117647058823529,0.6768942766295707,68.0,D
lxg35058,lori.gordon@univ.edu,2,Lori,Gordon,52.0,80,74,80,75,80,79,100,67,70,72,90,50,50,51,70,40,60,38,60,88,100,96,100,76,100,12,0.88,0.96,0.76,0.8081081081081081,0.8088214285714287,0.8088214285714287,0.17391304347826086,0.7058823529411765,0.7058823529411765,0.7892932773109245,79.0,C
bjg14618,benjamin.graham@univ.edu,2,Benjamin,Graham,64.0,80,52,80,58,80,87,100,60,70,89,90,41,50,45,70,50,60,37,60,81,100,73,100,81,100,6,0.81,0.73,0.81,0.7878378378378378,0.780388888888889,0.7878378378378378,0.08695652173913043,0.35294117647058826,0.35294117647058826,0.6560174880763117,66.0,D
chh70562,crystal.holt@univ.edu,2,Crystal,Holt,68.0,80,51,80,64,80,91,100,52,70,67,90,37,50,43,70,45,60,39,60,63,100,97,100,73,100,14,0.63,0.97,0.73,0.7527027027027027,0.7439087301587302,0.7527027027027027,0.2028985507246377,0.8235294117647058,0.8235294117647058,0.7861399046104929,79.0,C
mjj83180,margaret.james@univ.edu,2,Margaret,James,67.0,80,63,80,48,80,81,100,62,70,89,90,36,50,57,70,48,60,51,60,85,100,90,100,97,100,9,0.85,0.9,0.97,0.8135135135135135,0.8093888888888889,0.8135135135135135,0.13043478260869565,0.5294117647058824,0.5294117647058824,0.7622289348171701,77.0,C
jxj82678,jamie.johnson@univ.edu,2,Jamie,Johnson,74.0,80,78,80,76,80,100,100,66,70,85,90,40,50,67,70,36,60,50,60,63,100,71,100,90,100,16,0.63,0.71,0.9,0.9081081081081082,0.8927777777777779,0.9081081081081082,0.2318840579710145,0.9411764705882353,0.9411764705882353,0.8830961844197138,89.0,B
smj00936,stacy.johnson@univ.edu,2,Stacy,Johnson,74.0,80,55,80,60,80,67,100,46,70,85,90,43,50,42,70,59,60,48,60,96,100,80,100,86,100,11,0.96,0.8,0.86,0.7824324324324324,0.7877420634920634,0.7877420634920634,0.15942028985507245,0.6470588235294118,0.6470588235294118,0.7662144724556489,77.0,C
txj17476,tara.johnson@univ.edu,2,Tara,Johnson,53.0,80,74,80,65,80,82,100,45,70,59,90,48,50,56,70,40,60,57,60,71,100,91,100,95,100,10,0.71,0.91,0.95,0.7824324324324324,0.7895079365079365,0.7895079365079365,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.7612737628384688,77.0,C
mxl12345,malaika.lambert@univ.edu,2,Malaika,Lambert,63.0,80,57,80,78,80,83,100,61,70,88,90,42,50,58,70,45,60,37,60,60,100,91,100,93,100,10,0.6,0.91,0.93,0.827027027027027,0.8189444444444444,0.827027027027027,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.7677813990461049,77.0,C
axl60952,aaron.lester@univ.edu,2,Aaron,Lester,68.0,80,74,80,77,80,89,100,51,70,87,90,33,50,48,70,42,60,41,60,79,100,63,100,68,100,10,0.79,0.63,0.68,0.8243243243243243,0.8051785714285714,0.8243243243243243,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.710700317965024,72.0,C
asm59771,ashley.martin@univ.edu,2,Ashley,Martin,50.0,80,66,80,80,80,68,100,46,70,86,90,33,50,63,70,51,60,48,60,67,100,72,100,68,100,8,0.67,0.72,0.68,0.7986486486486486,0.7952698412698413,0.7986486486486486,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.6681359300476948,67.0,D
sem28474,stephen.miller@univ.edu,2,Stephen,Miller,50.0,80,48,80,63,80,77,100,57,70,81,90,49,50,69,70,55,60,41,60,72,100,70,100,97,100,7,0.72,0.7,0.97,0.7972972972972973,0.80625,0.80625,0.10144927536231885,0.4117647058823529,0.4117647058823529,0.6975294117647058,70.0,C
bgm86325,brian.myers@univ.edu,2,Brian,Myers,75.0,80,49,80,53,80,65,100,66,70,69,90,49,50,47,70,44,60,53,60,74,100,60,100,92,100,15,0.74,0.6,0.92,0.7702702702702703,0.7840119047619047,0.7840119047619047,0.21739130434782608,0.8823529411764706,0.8823529411764706,0.8133106442577032,82.0,B
cxn83965,cindy.nguyen@univ.edu,2,Cindy,Nguyen,51.0,80,59,80,58,80,63,100,52,70,58,90,50,50,66,70,46,60,41,60,82,100,68,100,82,100,6,0.82,0.68,0.82,0.7351351351351352,0.751015873015873,0.751015873015873,0.08695652173913043,0.35294117647058826,0.35294117647058826,0.6382887021475256,64.0,D
jxo31236,john.odom@univ.edu,2,John,Odom,59.0,80,59,80,60,80,61,100,44,70,62,90,34,50,66,70,52,60,55,60,85,100,100,100,80,100,8,0.85,1.0,0.8,0.745945945945946,0.7558650793650794,0.7558650793650794,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.7060225023342671,71.0,C
bkr19538,brandy.reilly@univ.edu,2,Brandy,Reilly,70.0,80,80,80,55,80,84,100,42,70,79,90,44,50,60,70,45,60,52,60,69,100,67,100,95,100,6,0.69,0.67,0.95,0.8256756756756757,0.8234087301587302,0.8256756756756757,0.08695652173913043,0.35294117647058826,0.35294117647058826,0.6801526232114468,69.0,D
bxr62103,bailey.reyes@univ.edu,2,Bailey,Reyes,53.0,80,50,80,55,80,97,100,57,70,75,90,39,50,64,70,41,60,46,60,90,100,72,100,71,100,17,0.9,0.72,0.71,0.7797297297297298,0.7736904761904763,0.7797297297297298,0.2463768115942029,1.0,1.0,0.8353918918918919,84.0,B
skr62062,steven.roberts@univ.edu,2,Steven,Roberts,56.0,80,75,80,76,80,92,100,59,70,74,90,38,50,60,70,59,60,49,60,70,100,80,100,67,100,8,0.7,0.8,0.67,0.8621621621621621,0.8589722222222221,0.8621621621621621,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.7015413354531002,71.0,C
akr14831,alexander.rodriguez@univ.edu,2,Alexander,Rodriguez,50.0,80,54,80,74,80,75,100,54,70,59,90,38,50,43,70,38,60,47,60,97,100,97,100,81,100,16,0.97,0.97,0.81,0.7189189189189189,0.7192936507936507,0.7192936507936507,0.2318840579710145,0.9411764705882353,0.9411764705882353,0.837070401493931,84.0,B
sbr74322,sherry.rogers@univ.edu,2,Sherry,Rogers,58.0,80,60,80,49,80,68,100,50,70,75,90,33,50,44,70,55,60,56,60,63,100,92,100,80,100,17,0.63,0.92,0.8,0.7405405405405405,0.7453690476190478,0.7453690476190478,0.2463768115942029,1.0,1.0,0.8416476190476191,85.0,B
oxr30270,oscar.rush@univ.edu,2,Oscar,Rush,50.0,80,56,80,65,80,80,100,42,70,68,90,34,50,67,70,57,60,40,60,74,100,80,100,66,100,7,0.74,0.8,0.66,0.7554054054054054,0.754686507936508,0.7554054054054054,0.10144927536231885,0.4117647058823529,0.4117647058823529,0.641691573926868,65.0,D
mxs33225,michelle.scott@univ.edu,2,Michelle,Scott,52.0,80,55,80,72,80,66,100,44,70,79,90,35,50,52,70,50,60,42,60,87,100,77,100,92,100,12,0.87,0.77,0.92,0.7391891891891892,0.7380039682539683,0.7391891891891892,0.17391304347826086,0.7058823529411765,0.7058823529411765,0.7659403815580288,77.0,C
aes07091,andrea.smith@univ.edu,2,Andrea,Smith,80.0,80,71,80,61,80,73,100,61,70,79,90,47,50,62,70,43,60,41,60,66,100,97,100,86,100,7,0.66,0.97,0.86,0.8351351351351352,0.8354920634920635,0.8354920634920635,0.10144927536231885,0.4117647058823529,0.4117647058823529,0.7167262371615313,72.0,C
sxs90647,samantha.smith@univ.edu,2,Samantha,Smith,48.0,80,61,80,49,80,70,100,61,70,87,90,36,50,59,70,53,60,44,60,69,100,100,100,74,100,17,0.69,1.0,0.74,0.7675675675675676,0.7692619047619046,0.7692619047619046,0.2463768115942029,1.0,1.0,0.8532047619047618,86.0,B
lxs77616,leslie.sparks@univ.edu,2,Leslie,Sparks,66.0,80,77,80,54,80,66,100,48,70,56,90,38,50,63,70,43,60,50,60,61,100,95,100,90,100,16,0.61,0.95,0.9,0.7581081081081081,0.7640436507936509,0.7640436507936509,0.2318840579710145,0.9411764705882353,0.9411764705882353,0.848470401493931,85.0,B
mxs29840,marcia.stevens@univ.edu,2,Marcia,Stevens,51.0,80,72,80,60,80,84,100,68,70,73,90,50,50,65,70,59,60,59,60,63,100,99,100,83,100,17,0.63,0.99,0.83,0.8662162162162163,0.8805277777777777,0.8805277777777777,0.2463768115942029,1.0,1.0,0.907211111111111,91.0,A
mat59156,michael.taylor@univ.edu,2,Michael,Taylor,58.0,80,60,80,50,80,72,100,46,70,68,90,37,50,49,70,47,60,36,60,91,100,68,100,66,100,13,0.91,0.68,0.66,0.7067567567567568,0.7056031746031747,0.7067567567567568,0.18840579710144928,0.7647058823529411,0.7647058823529411,0.724614467408585,73.0,C
cxw68726,carol.watkins@univ.edu,2,Carol,Watkins,64.0,80,76,80,69,80,88,100,60,70,66,90,36,50,51,70,55,60,57,60,62,100,92,100,98,100,11,0.62,0.92,0.98,0.8405405405405405,0.8398214285714285,0.8405405405405405,0.15942028985507245,0.6470588235294118,0.6470588235294118,0.8003338632750397,81.0,B
hsw06874,holly.watson@univ.edu,2,Holly,Watson,66.0,80,51,80,66,80,79,100,53,70,55,90,35,50,61,70,49,60,49,60,81,100,100,100,90,100,10,0.81,1.0,0.9,0.7621621621621621,0.7650515873015872,0.7650515873015872,0.14492753623188406,0.5882352941176471,0.5882352941176471,0.757991223155929,76.0,C
kxw26270,kimberly.williams@univ.edu,2,Kimberly,Williams,72.0,80,80,80,63,80,87,100,57,70,71,90,30,50,43,70,42,60,49,60,82,100,95,100,85,100,11,0.82,0.95,0.85,0.8027027027027027,0.7891626984126984,0.8027027027027027,0.15942028985507245,0.6470588235294118,0.6470588235294118,0.7786987281399047,78.0,C
cxw91147,courtney.wolf@univ.edu,2,Courtney,Wolf,80.0,80,79,80,66,80,63,100,56,70,71,90,48,50,43,70,52,60,43,60,88,100,86,100,62,100,9,0.88,0.86,0.62,0.8121621621621622,0.8189007936507936,0.8189007936507936,0.13043478260869565,0.5294117647058824,0.5294117647058824,0.7093838468720821,71.0,C
jxw87000,john.woodard@univ.edu,2,John,Woodard,51.0,80,68,80,56,80,71,100,69,70,60,90,33,50,56,70,41,60,60,60,68,100,93,100,62,100,11,0.68,0.93,0.62,0.7635135135135135,0.7693214285714286,0.7693214285714286,0.15942028985507245,0.6470588235294118,0.6470588235294118,0.721846218487395,73.0,C
