,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 3,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
cxr98775,carol.reyes@univ.edu,3,Carol,Reyes,75.0,80,80,80,66,80,62,100,60,70,66,90,37,50,65,70,44,60,51,60,99,100,91,100,90,100,8,0.99,0.91,0.9,0.8189189189189189,0.8224880952380953,0.8224880952380953,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.7456717086834734,75.0,C
jxr10806,jason.reyes@univ.edu,3,Jason,Reyes,67.0,80,66,80,65,80,68,100,57,70,70,90,34,50,64,70,57,60,44,60,70,100,81,100,86,100,13,0.7,0.81,0.86,0.8,0.8024682539682539,0.8024682539682539,0.18840579710144928,0.7647058823529411,0.7647058823529411,0.7953990662931839,80.0,B
kpr82051,kimberly.rhodes@univ.edu,3,Kimberly,Rhodes,60.0,80,61,80,60,80,79,100,42,70,86,90,34,50,48,70,48,60,47,60,61,100,62,100,97,100,16,0.61,0.62,0.97,0.7635135135135135,0.7557103174603175,0.7635135135135135,0.2318840579710145,0.9411764705882353,0.9411764705882353,0.825758346581876,83.0,B
jsr21334,john.rodriguez@univ.edu,3,John,Rodriguez,78.0,80,76,80,63,80,61,100,52,70,61,90,41,50,55,70,37,60,60,60,92,100,68,100,89,100,12,0.92,0.68,0.89,0.7891891891891892,0.7965515873015873,0.7965515873015873,0.17391304347826086,0.7058823529411765,0.7058823529411765,0.7778853408029879,78.0,C
sxs30610,stephanie.sampson@univ.edu,3,Stephanie,Sampson,77.0,80,50,80,57,80,81,100,69,70,84,90,39,50,54,70,46,60,59,60,87,100,100,100,75,100,6,0.87,1.0,0.75,0.8324324324324325,0.833047619047619,0.833047619047619,0.08695652173913043,0.35294117647058826,0.35294117647058826,0.6951014005602241,70.0,C
fxs77894,felicia.simpson@univ.edu,3,Felicia,Simpson,59.0,80,66,80,77,80,73,100,60,70,90,90,36,50,63,70,53,60,41,60,63,100,90,100,99,100,13,0.63,0.9,0.99,0.8351351351351352,0.8298809523809524,0.8351351351351352,0.18840579710144928,0.7647058823529411,0.7647058823529411,0.8334658187599364,84.0,B
cjs43553,crystal.smith@univ.edu,3,Crystal,Smith,63.0,80,80,80,59,80,90,100,48,70,66,90,48,50,64,70,52,60,58,60,85,100,88,100,60,100,8,0.85,0.88,0.6,0.8486486486486486,0.8551666666666667,0.8551666666666667,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.703743137254902,71.0,C
ajt73762,amy.terry@univ.edu,3,Amy,Terry,71.0,80,54,80,76,80,93,100,43,70,89,90,30,50,58,70,54,60,49,60,60,100,81,100,79,100,9,0.6,0.81,0.79,0.8337837837837838,0.8190912698412699,0.8337837837837838,0.13043478260869565,0.5294117647058824,0.5294117647058824,0.7218370429252783,73.0,C
bxt62105,brandon.thomas@univ.edu,3,Brandon,Thomas,80.0,80,49,80,53,80,77,100,46,70,86,90,33,50,53,70,37,60,51,60,86,100,72,100,65,100,13,0.86,0.72,0.65,0.7635135135135135,0.7541507936507935,0.7635135135135135,0.18840579710144928,0.7647058823529411,0.7647058823529411,0.7473171701112877,75.0,C
hxw92728,heather.webb@univ.edu,3,Heather,Webb,56.0,80,48,80,60,80,60,100,47,70,84,90,35,50,45,70,44,60,40,60,100,100,61,100,62,100,16,1.0,0.61,0.62,0.7013513513513514,0.6997619047619048,0.7013513513513514,0.2318840579710145,0.9411764705882353,0.9411764705882353,0.7668934817170112,77.0,C
alw07647,amy.white@univ.edu,3,Amy,White,71.0,80,60,80,72,80,95,100,64,70,87,90,40,50,43,70,47,60,41,60,99,100,95,100,99,100,15,0.99,0.95,0.99,0.8378378378378378,0.8249404761904762,0.8378378378378378,0.21739130434782608,0.8823529411764706,0.8823529411764706,0.8928410174880764,90.0,A
lkw48972,levi.wilkerson@univ.edu,3,Levi,Wilkerson,52.0,80,80,80,75,80,62,100,43,70,70,90,33,50,42,70,38,60,42,60,71,100,96,100,93,100,8,0.71,0.96,0.93,0.7256756756756757,0.7192896825396825,0.7256756756756757,0.11594202898550725,0.47058823529411764,0.47058823529411764,0.7024467408585056,71.0,C
